,field,time_period,ranking,university_name,score,faculty,image_url
174,ml,2010,1,University of Alberta,37.7,12,./assets/alberta.jpeg
175,ml,2010,2,University of Montreal,19.2,8,./assets/umontreal.jpeg
176,ml,2010,3,University of Toronto,15.7,18,./assets/uoft.jpeg
177,ml,2010,4,University of British Columbia,11.4,9,./assets/ubc.jpeg
178,ml,2010,5,University of Waterloo,11.3,7,./assets/waterloo.jpeg
179,ml,2010,6,Université Laval,7.5,3,./assets/ulaval.jpeg
180,ml,2010,7,Carleton University,7.0,1,./assets/carleton.jpeg
181,ml,2010,8,Western University,3.6,2,./assets/western.jpeg
182,ml,2010,9,Concordia University,3.5,2,./assets/concordia.jpeg
183,ml,2010,10,University of Guelph,3.1,2,./assets/guelph.jpeg
184,ml,2010,11,York University,2.4,3,./assets/york.jpeg
185,ml,2010,12,University of Victoria,2.3,1,./assets/uvic.jpeg
186,ml,2010,13,McGill University,2.0,3,./assets/mcgill.webp
187,ml,2010,14,Université du Québec à Montréal,1.7,2,
188,ml,2010,15,Dalhousie University,1.6,1,./assets/dalhousie.jpeg
189,ml,2010,16,Simon Fraser University,1.3,1,./assets/sfu.jpeg
190,ml,2010,16,Université de Sherbrooke,1.3,1,
191,ml,2010,18,Polytechnique Montreal,1.1,1,
192,irnlp,2010,1,University of Waterloo,10.0,7,./assets/waterloo.jpeg
193,irnlp,2010,2,University of Toronto,6.0,9,./assets/uoft.jpeg
194,irnlp,2010,3,University of Montreal,4.8,4,./assets/umontreal.jpeg
195,irnlp,2010,4,Simon Fraser University,4.7,6,./assets/sfu.jpeg
196,irnlp,2010,4,University of British Columbia,4.7,7,./assets/ubc.jpeg
197,irnlp,2010,6,University of Alberta,4.2,8,./assets/alberta.jpeg
198,irnlp,2010,7,University of Ottawa,2.4,2,./assets/uottawa.jpeg
199,irnlp,2010,8,McGill University,2.2,2,./assets/mcgill.webp
200,irnlp,2010,9,Dalhousie University,1.8,2,./assets/dalhousie.jpeg
201,irnlp,2010,10,Carleton University,1.7,2,./assets/carleton.jpeg
202,irnlp,2010,10,Queen’s University,1.7,1,./assets/queens.jpeg
203,irnlp,2010,12,University of New Brunswick,1.5,1,
204,irnlp,2010,12,Université du Québec à Montréal,1.5,2,
205,irnlp,2010,14,Concordia University,1.4,2,./assets/concordia.jpeg
206,irnlp,2010,15,Ontario Tech University,1.2,1,
207,irnlp,2010,15,University of Calgary,1.2,1,./assets/ucalgary.jpeg
208,irnlp,2010,15,University of Saskatchewan,1.2,1,./assets/usask.jpeg
209,irnlp,2010,18,ETS Montreal,1.1,1,./assets/etsmontreal.avif
210,irnlp,2010,18,Memorial University of Newfoundland,1.1,1,
211,irnlp,2010,18,York University,1.1,1,./assets/york.jpeg
212,hci,2010,1,University of Toronto,60.3,14,./assets/uoft.jpeg
213,hci,2010,2,University of Saskatchewan,12.8,3,./assets/usask.jpeg
214,hci,2010,2,University of Waterloo,12.8,11,./assets/waterloo.jpeg
215,hci,2010,4,University of Manitoba,11.2,4,./assets/umanitoba.jpeg
216,hci,2010,5,Simon Fraser University,9.4,5,./assets/sfu.jpeg
217,hci,2010,6,University of British Columbia,8.7,8,./assets/ubc.jpeg
218,hci,2010,7,University of Calgary,8.6,7,./assets/ucalgary.jpeg
219,hci,2010,8,University of Guelph,4.3,3,./assets/guelph.jpeg
220,hci,2010,9,Dalhousie University,4.2,5,./assets/dalhousie.jpeg
221,hci,2010,9,Queen’s University,4.2,2,./assets/queens.jpeg
222,hci,2010,11,University of Victoria,4.1,2,./assets/uvic.jpeg
223,hci,2010,12,Carleton University,2.8,2,./assets/carleton.jpeg
224,hci,2010,13,University of New Brunswick,2.2,1,
225,hci,2010,14,Concordia University,1.3,1,./assets/concordia.jpeg
226,hci,2010,14,University of Alberta,1.3,1,./assets/alberta.jpeg
227,hci,2010,16,McGill University,1.2,1,./assets/mcgill.webp
228,hci,2010,16,York University,1.2,1,./assets/york.jpeg
229,all,2020,1,University of Toronto,24.3,66,./assets/uoft.jpeg
230,all,2020,2,University of Waterloo,19.8,49,./assets/waterloo.jpeg
231,all,2020,3,University of British Columbia,12.5,35,./assets/ubc.jpeg
232,all,2020,4,Simon Fraser University,11.3,36,./assets/sfu.jpeg
233,all,2020,5,University of Alberta,9.9,36,./assets/alberta.jpeg
234,all,2020,6,University of Montreal,7.2,20,./assets/umontreal.jpeg
235,all,2020,7,McGill University,4.7,17,./assets/mcgill.webp
236,all,2020,8,York University,3.5,13,./assets/york.jpeg
237,all,2020,9,Carleton University,3.2,8,./assets/carleton.jpeg
238,all,2020,10,University of Ottawa,2.9,8,./assets/uottawa.jpeg
239,all,2020,11,Université Laval,2.6,11,./assets/ulaval.jpeg
240,all,2020,12,University of Manitoba,2.5,8,./assets/umanitoba.jpeg
241,all,2020,13,University of Guelph,2.4,7,./assets/guelph.jpeg
242,all,2020,14,Queen’s University,2.3,5,./assets/queens.jpeg
243,all,2020,15,ETS Montreal,2.2,10,./assets/etsmontreal.avif
244,all,2020,16,Dalhousie University,2.1,9,./assets/dalhousie.jpeg
245,all,2020,17,Concordia University,1.9,6,./assets/concordia.jpeg
246,all,2020,17,University of Victoria,1.9,10,./assets/uvic.jpeg
247,all,2020,19,Polytechnique Montreal,1.7,3,
248,all,2020,19,University of Calgary,1.7,11,./assets/ucalgary.jpeg
249,all,2020,21,University of Saskatchewan,1.6,2,./assets/usask.jpeg
250,all,2020,21,Western University,1.6,4,./assets/western.jpeg
251,all,2020,23,McMaster University,1.5,4,
252,all,2020,23,University of New Brunswick,1.5,3,
253,all,2020,23,Université du Québec à Montréal,1.5,8,
254,all,2020,26,University of Regina,1.4,6,
255,all,2020,27,Toronto Metropolitan University,1.3,2,
256,all,2020,28,Université de Sherbrooke,1.2,4,
257,all,2020,29,Brock University,1.1,1,
